"Monthly Time Series Summary of Min Temperature (1940 - 2025), Stn: 12909"

Station:,SAN ANTONIO KELLY FIELD AFB,State:,TX,ID:,12909
Latitude:,29.38333 degreeN,Longitude:,98.58333 degreeW,Elevation:,690.0 feet
Station period of record:,mint: 01/01/1949-06/04/2025

index,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Annual
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,38.3,50.5,53.8,57.1,70.4,72.5,74.9,73.4,72.3,62.0,50.0,50.0,60.6
1950,52.6,49.8,51.2,59.7,70.3,73.6,75.7,73.8,71.6,62.5,48.5,40.8,60.9
1951,39.6,44.6,53.0,58.1,66.7,73.4,76.6,76.5,71.7,63.7,49.2,45.3,60.0
1952,50.8,48.3,51.5,56.4,63.6,73.5,75.5,76.0,68.2,53.7,51.4,43.8,59.4
1953,44.5,46.2,60.0,60.1,67.4,76.1,77.8,76.0,67.8,62.3,49.9,41.0,60.8
1954,46.5,48.6,51.7,65.3,66.6,75.7,77.0,77.0,72.6,63.6,49.8,47.8,61.9
1955,44.7,47.7,54.2,64.0,69.3,71.5,75.9,75.6,73.3,59.4,51.8,43.8,61.0
1956,43.3,48.1,51.9,60.8,69.3,74.7,74.8,74.9,70.3,62.9,48.3,46.5,60.5
1957,46.3,55.7,53.5,58.7,66.4,73.1,75.8,75.7,67.9,58.5,48.8,46.3,60.7
1958,41.0,42.9,47.4,59.3,66.9,74.8,75.9,75.7,73.1,62.0,53.1,41.6,59.5
1959,39.6,45.2,46.3,55.2,67.9,72.6,73.3,74.7,72.5,59.1,40.2,43.4,57.6
1960,40.3,37.6,45.2,58.2,63.7,72.4,73.8,74.5,65.2,63.1,52.5,40.0,57.3
1961,35.3,42.1,52.7,54.9,67.1,71.0,72.1,69.9,69.7,58.1,46.7,42.6,56.9
1962,32.2,50.0,46.0,58.6,66.7,72.4,74.6,74.9,70.8,65.1,48.1,41.6,58.4
1963,33.9,39.0,53.6,63.4,68.5,73.6,74.5,74.7,70.5,62.2,52.6,35.3,58.6
1964,37.8,39.6,48.8,61.5,67.9,71.0,74.6,75.2,71.4,53.6,52.9,41.1,58.0
1965,42.7,40.6,44.1,62.4,67.4,71.4,72.1,71.9,70.0,55.7,55.2,47.5,58.5
1966,36.8,40.0,50.4,60.3,66.8,70.8,75.2,74.5,69.4,57.0,53.6,39.6,57.9
