"","DATE","TAVG","PRCP","TMAX","TMIN"
"1","1991-01-01",45.5,0,54,37
"2","1991-01-02",48.5,0.5,54,43
"3","1991-01-03",44.5,0.14,53,36
"4","1991-01-04",39,0.13,42,36
"5","1991-01-05",48.5,0.12,57,40
"6","1991-01-06",54,0.05,63,45
"7","1991-01-07",44.5,0.04,49,40
"8","1991-01-08",44.5,0.03,49,40
"9","1991-01-09",49,0.37,52,46
"10","1991-01-10",48,0.12,56,40
"11","1991-01-11",45,0,55,35
"12","1991-01-12",47,0,64,30
"13","1991-01-13",48,0,64,32
"14","1991-01-14",60,0,73,47
"15","1991-01-15",54.5,0,68,41
"16","1991-01-16",51.5,0,69,34
"17","1991-01-17",56,0.36,63,49
"18","1991-01-18",49,2.33,52,46
"19","1991-01-19",51.5,0,63,40
"20","1991-01-20",50,0,60,40
"21","1991-01-21",38,0,45,31
"22","1991-01-22",41,0,49,33
"23","1991-01-23",46.5,0.15,49,44
"24","1991-01-24",51.5,0.29,60,43
"25","1991-01-25",46,0,60,32
"26","1991-01-26",49,0,62,36
"27","1991-01-27",58.5,0,69,48
"28","1991-01-28",57,0,71,43
"29","1991-01-29",61,0.25,81,41
"30","1991-01-30",42,0.2,50,34
"31","1991-01-31",46,0,60,32
"32","1991-02-01",46,0,63,29
"33","1991-02-02",48.5,0,67,30
"34","1991-02-03",52,0.02,59,45
"35","1991-02-04",61.5,1.71,65,58
"36","1991-02-05",62.5,0.02,73,52
"37","1991-02-06",58.5,0,70,47
"38","1991-02-07",56.5,0,71,42
"39","1991-02-08",54,0,71,37
"40","1991-02-09",54.5,0,71,38
"41","1991-02-10",61,0,80,42
"42","1991-02-11",62.5,0,69,56
"43","1991-02-12",63,0,74,52
"44","1991-02-13",69,0,84,54
"45","1991-02-14",63.5,0,77,50
"46","1991-02-15",51,0,60,42
"47","1991-02-16",46,0.06,51,41
"48","1991-02-17",59,0,67,51
"49","1991-02-18",70.5,0.07,83,58
"50","1991-02-19",57,0.39,63,51
"51","1991-02-20",52,0,59,45
"52","1991-02-21",52.5,0.01,58,47
"53","1991-02-22",58,0,74,42
"54","1991-02-23",55.5,0,69,42
"55","1991-02-24",58,0,65,51
"56","1991-02-25",52.5,0,62,43
"57","1991-02-26",47.5,0,58,37
"58","1991-02-27",53,0,57,49
"59","1991-02-28",58,0.06,63,53
"60","1991-03-01",68,0.08,82,54
"61","1991-03-02",65.5,0,83,48
"62","1991-03-03",57.5,0,70,45
"63","1991-03-04",65,0,87,43
"64","1991-03-05",69.5,0,94,45
"65","1991-03-06",75,0,100,50
"66","1991-03-07",64,0,73,55
"67","1991-03-08",62,0,76,48
"68","1991-03-09",59.5,0,72,47
"69","1991-03-10",55.5,0,73,38
"70","1991-03-11",67,0,80,54
"71","1991-03-12",67.5,0,84,51
"72","1991-03-13",62.5,0,78,47
"73","1991-03-14",53.5,0.01,58,49
"74","1991-03-15",49,0.36,51,47
"75","1991-03-16",54,0.27,60,48
"76","1991-03-17",64.5,0.02,78,51
"77","1991-03-18",58,0,73,43
"78","1991-03-19",64.5,0,78,51
"79","1991-03-20",66,0,72,60
"80","1991-03-21",74,0,80,68
"81","1991-03-22",64,0,75,53
"82","1991-03-23",61,0,76,46
"83","1991-03-24",67,0,83,51
"84","1991-03-25",75,0,85,65
"85","1991-03-26",76,0,82,70
"86","1991-03-27",72,0,84,60
"87","1991-03-28",71,0.09,86,56
"88","1991-03-29",62.5,0,72,53
"89","1991-03-30",56.5,0.23,70,43
"90","1991-03-31",55.5,0,70,41
"91","1991-04-01",58,0,74,42
"92","1991-04-02",65.5,0,74,57
"93","1991-04-03",71,0,81,61
"94","1991-04-04",71.5,0.25,79,64
"95","1991-04-05",64.5,2.47,69,60
"96","1991-04-06",66,0.92,74,58
"97","1991-04-07",69.5,0.04,78,61
"98","1991-04-08",77.5,0,87,68
"99","1991-04-09",75,0,84,66
"100","1991-04-10",72.5,0,79,66
"101","1991-04-11",72,0.06,79,65
"102","1991-04-12",80,0,87,73
"103","1991-04-13",80.5,0.15,89,72
"104","1991-04-14",70,0.94,84,56
"105","1991-04-15",66,0,83,49
"106","1991-04-16",71.5,0,86,57
"107","1991-04-17",77,0,82,72
"108","1991-04-18",77,0,83,71
"109","1991-04-19",79,0,88,70
"110","1991-04-20",68,0,78,58
"111","1991-04-21",68,0,79,57
"112","1991-04-22",76,0,90,62
"113","1991-04-23",68.5,0,82,55
"114","1991-04-24",74,0,80,68
"115","1991-04-25",79.5,0.01,88,71
"116","1991-04-26",81,0,89,73
"117","1991-04-27",77,0,85,69
"118","1991-04-28",74.5,0.07,87,62
"119","1991-04-29",69.5,0,85,54
"120","1991-04-30",70.5,0,87,54
"121","1991-05-01",71,0.08,85,57
"122","1991-05-02",75.5,0.37,82,69
"123","1991-05-03",75,2.63,84,66
"124","1991-05-04",76,0.4,85,67
"125","1991-05-05",67.5,0,75,60
"126","1991-05-06",65,0,78,52
"127","1991-05-07",70,0,82,58
"128","1991-05-08",70.5,0.84,80,61
"129","1991-05-09",71.5,0,84,59
"130","1991-05-10",78.5,0,87,70
"131","1991-05-11",82,0,89,75
"132","1991-05-12",83.5,0,91,76
"133","1991-05-13",75,0.66,84,66
"134","1991-05-14",78.5,0,87,70
"135","1991-05-15",79.5,0.01,89,70
"136","1991-05-16",74.5,0.1,81,68
"137","1991-05-17",74.5,0,83,66
"138","1991-05-18",77,0,90,64
"139","1991-05-19",77.5,0.08,88,67
"140","1991-05-20",79,0,88,70
"141","1991-05-21",77.5,0,87,68
"142","1991-05-22",79.5,0.13,87,72
"143","1991-05-23",79.5,0,89,70
"144","1991-05-24",82,0,92,72
"145","1991-05-25",83,0,93,73
"146","1991-05-26",81.5,0,96,67
"147","1991-05-27",83.5,0,94,73
"148","1991-05-28",83.5,0,93,74
"149","1991-05-29",85.5,0,95,76
"150","1991-05-30",85.5,0,94,77
"151","1991-05-31",84.5,0,92,77
"152","1991-06-01",85.5,0,93,78
"153","1991-06-02",85,0,93,77
"154","1991-06-03",80,0.01,93,67
"155","1991-06-04",80.5,0,95,66
"156","1991-06-05",86.5,0,96,77
"157","1991-06-06",84.5,0,94,75
"158","1991-06-07",79.5,0.05,88,71
"159","1991-06-08",80,0.03,89,71
"160","1991-06-09",76.5,0.02,84,69
"161","1991-06-10",79,0,89,69
"162","1991-06-11",82.5,0,95,70
"163","1991-06-12",81,0.13,95,67
"164","1991-06-13",87,0,97,77
"165","1991-06-14",87,0,98,76
