"STATION","NAME","DATE","ACSH","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-01",,,,"0.00","0.0",,"59","33",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-02",,,,"0.00","0.0",,"58","29",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-03",,,,"0.00","0.0",,"74","38",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-04",,,,"0.00","0.0",,"72","44",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-05",,,,"0.00","0.0",,"71","38",,"    1",,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-06",,,,"0.00","0.0",,"69","46",,"    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-07",,,,"0.00","0.0",,"63","46",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-08",,,,"0.00","0.0",,"74","55",,"    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-09",,,,"0.00","0.0",,"72","55",,"    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-10",,,,"0.00","0.0",,"63","52",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-11",,,,"0.00","0.0",,"61","49",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-12",,,,"0.00","0.0",,"72","50",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-13",,,,"0.00","0.0",,"53","29",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-14",,,,"0.00","0.0",,"60","24",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-15",,,,"0.00","0.0",,"68","27",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-16",,,,"0.00","0.0",,"56","32",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-17",,,,"0.00","0.0",,"44","24",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-18",,,,"0.04","0.0",,"47","19",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-19",,,,"0.20","0.0",,"37","33",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-20",,,,"0.01","0.0",,"48","33",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-21",,,,"0.00","0.0",,"69","29",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-22",,,,"0.00","0.0",,"79","33",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-23",,,,"0.00","0.0",,"53","29",,,,,,,,,,,,,,,,,,,"    1",,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-24",,,,"0.00","0.0",,"49","19",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-25",,,,"0.02","0.0",,"43","31",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-26",,,,"0.16","0.0",,"36","31",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-27",,,,"0.01","0.0",,"34","23",,,,,,,"    1",,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-28",,,,"0.17","0.0",,"28","20",,"    1",,"    1","    1",,"    1",,,,,,,,,,"    1",,"    1",,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-29",,,,"0.00","0.0",,"42","22",,,,"    1",,,"    1",,,,,,,,,,"    1",,"    1",,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-30",,,,"0.00","0.0",,"58","22",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-01-31",,,,"0.00","0.0",,"62","25",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-01",,,,"0.61","0.0",,"44","37",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-02",,,,"0.31","0.0",,"46","40",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-03",,,,"0.04","0.0",,"51","41",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-04",,,,"0.02","0.0",,"65","51",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-05",,,,"0.03","0.0",,"63","48",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-06",,,,"0.01","0.0",,"54","44",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-07",,,,"0.02","0.0",,"60","46",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-08",,,,"0.00","0.0",,"51","32",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-09",,,,"0.00","0.0",,"52","25",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-10",,,,"0.00","0.0",,"54","29",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-11",,,,"0.00","0.0",,"75","31",,"    1",,,,,"    1",,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-12",,,,"0.05","0.0",,"33","23",,,,,,,"    1",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-13",,,,"0.00","0.0",,"60","26",,,,,,,"    1",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-14",,,,"0.00","0.0",,"64","28",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-15",,,,"0.00","0.0",,"67","28",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-16",,,,"0.00","0.0",,"79","38",,"    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-17",,,,"0.00","0.0",,"81","43",,"    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-18",,,,"0.01","0.0",,"73","61",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-19",,,,"0.00","0.0",,"81","59",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-20",,,,"0.01","0.0",,"67","46",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-21",,,,"0.32","0.0",,"47","40",,,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-22",,,,"0.00","0.0",,"46","35",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-23",,,,"0.06","0.0",,"62","41",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-02-24",,,,"0.08","0.0",,"72","57",,"    1",,,,,,,,,,,,,,,"    1",,,,
