"STATION","NAME","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-01","12.08","0.00",,"0.0","0.0","84","94","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-02","9.84","0.00",,"0.0","0.0","84","94","74",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-03","10.96","0.00",,"0.0","0.0","84","92","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-04","8.28","1.13",,"0.0","0.0","80","90","70","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-05","7.38","0.19",,"0.0","0.0","79","87","70","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-06","7.83","0.00",,"0.0","0.0","77","89","65",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-07","7.16","0.00",,"0.0","0.0","76","86","65",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-08","7.61","0.06",,"0.0","0.0","76","86","65","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-09","8.50","1.83",,"0.0","0.0","77","81","72","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-10","9.62","1.70",,"0.0","0.0","78","85","71","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-11","7.83","0.68",,"0.0","0.0","78","84","72","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-12","6.26","0.77",,"0.0","0.0","78","83","73","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-13","11.63","0.11",,"0.0","0.0","81","88","73",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-14","12.75","0.00",,"0.0","0.0","81","87","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-15","12.53","0.02",,"0.0","0.0","82","89","75",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-16","14.76","0.00",,"0.0","0.0","83","91","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-17","9.62","0.05",,"0.0","0.0","83","91","75","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-18","7.61","1.07",,"0.0","0.0","80","88","72","    1",,"    1",,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-19","12.30","0.00",,"0.0","0.0","82","90","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-20","14.54","0.00",,"0.0","0.0","84","91","76",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-21","12.53","0.00",,"0.0","0.0","82","90","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-22","12.53","0.00",,"0.0","0.0","83","90","75",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-23","13.42","0.00",,"0.0","0.0","84","93","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-24","12.30","0.00",,"0.0","0.0","83","92","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-25","11.63","0.00",,"0.0","0.0","84","92","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-26","9.84","0.00",,"0.0","0.0","83","92","74",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-27","7.83","0.00",,"0.0","0.0","83","91","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-28","7.61","0.00",,"0.0","0.0","83","92","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-29","7.38","0.00",,"0.0","0.0","82","92","72",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-06-30","9.84","0.00",,"0.0","0.0","83","93","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-01","11.63","0.00",,"0.0","0.0","85","94","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-02","13.65","0.00",,"0.0","0.0","85","94","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-03","12.75","0.00",,"0.0","0.0","86","95","76",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-04","11.86","0.00",,"0.0","0.0","85","94","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-05","9.84","0.00",,"0.0","0.0","84","93","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-07-06","9.17","0.00",,"0.0","0.0","83","94","72",,,,,,,,,,,,,,,,,
