"STATION","NAME","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT16","WT17","WT18","WT19"
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-11","8.72","0.00",,"76","91","60",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-12","9.17","0.00",,"78","88","67",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-13","8.50","0.00",,"81","90","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-14","9.84","0.00",,"83","91","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-15","7.38","0.00",,"83","92","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-16","6.04","0.00",,"79","86","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-17","8.50","0.00",,"83","95","70",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-18","7.38","0.00",,"78","93","62",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-19","8.50","0.00",,"80","95","65",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-20","8.50","0.00",,"83","95","71",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-21","10.29","0.00",,"84","97","70",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-22","11.63","0.00",,"85","98","71",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-23","9.84","0.00",,"84","94","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-24","10.74","0.00",,"84","95","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-25","10.29","0.00",,"83","92","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-26","10.96","0.00",,"85","92","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-27","8.95","0.20",,"80","94","66",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-28","5.37","0.00",,"84","96","71",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-29","5.59","0.00",,"86","98","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-30","6.71","0.00",,"85","99","71",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-05-31","6.26","0.00",,"87","101","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-01","6.93","0.00",,"87","101","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-02","9.84","0.00",,"88","101","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-03","12.75","0.00",,"89","101","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-04","11.63","0.00",,"92","103","81",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-05","10.51","0.00",,"84","95","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-06","10.96","0.00",,"79","90","67",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-07","12.53","0.00",,"78","85","70",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-08","16.11","0.00",,"89","99","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-09","13.20","0.00",,"90","100","79",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-10","15.21","0.00",,"91","101","80",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-11","8.28","0.00",,"83","94","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-12","10.07","0.00",,"89","97","80",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-13","8.72","0.00",,"91","105","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-14","7.61","0.00",,"92","107","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-15","4.70","0.20",,"90","108","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-16","11.86","0.00",,"90","104","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-17","13.42","0.00",,"90","101","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-18","12.08","0.00",,"93","103","82",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-19","11.41","0.00",,"92","103","80",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-20","12.75","0.00",,"92","105","79",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-21","12.53","0.00",,"90","102","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-22","10.51","0.00",,"90","102","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-23","11.18","0.00",,"61","101","21",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-24","11.18","0.00",,"88","100","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-25","9.17","0.00",,"89","101","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-26","5.37","0.00",,"88","100","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-27","9.17","0.00",,"91","103","79",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-28","9.84","0.00",,"90","100","79",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-29","9.17","0.00",,"88","95","80",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-06-30","11.41","0.00",,"90","101","79",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-01","9.40","0.05",,"90","101","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-02","7.16","0.00",,"88","99","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-03","8.50","0.10",,"84","92","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-04","12.30","0.00",,"86","94","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-05","11.63","0.00",,"90","101","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-06","8.95","0.00",,"90","104","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-07","9.17","0.00",,"91","105","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-08","9.40","0.00",,"89","100","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-09","10.07","0.00",,"89","101","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-10","9.17","0.00",,"90","102","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-11","8.72","0.00",,"91","104","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-12","6.26","0.00",,"91","105","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-13","5.59","0.00",,"92","103","80",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-14","5.14","0.13",,"90","104","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-15","6.49","0.00",,"88","102","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-16","5.82","0.00",,"89","103","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-17","5.37","0.00",,"89","104","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-18","8.05","0.00",,"90","104","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-19","9.17","0.00",,"89","102","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-20","9.84","0.00",,"90","102","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-21","10.29","0.00",,"90","102","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-22","10.07","0.00",,"90","102","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-23","10.07","0.00",,"89","102","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-24","9.17","0.00",,"90","103","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-25","10.07","0.00",,"91","103","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-26","9.62","0.00",,"90","102","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-27","8.95","0.00",,"89","101","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-28","8.95","0.00",,"89","102","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-29","10.74","0.00",,"89","102","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-30","12.97","0.00",,"90","103","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-07-31","9.84","0.00",,"90","103","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-01","6.71","0.00",,"89","103","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-02","5.82","0.00",,"89","103","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-03","5.82","0.00",,"89","103","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-04","7.16","0.00",,"90","102","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-05","5.82","0.00",,"89","99","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-06","2.68","1.07",,"79","86","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-07","6.26","2.20",,"81","89","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-08","7.38","0.00",,"88","98","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-09","6.71","0.00",,"88","98","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-10","6.04","0.00",,"87","99","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-11","5.82","0.00",,"88","100","76",,,,,,,,,,,,,,,
