"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT06","WT08"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-16",," 1856","0.00",,"99","78",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-17","10.51"," 1541","0.00",,"99","80",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-18","7.61"," 2239","0.00",,"99","76",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-19","6.93"," 1735","0.00",,"99","75",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-20","8.28"," 2123","0.00",,"99","77",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-21","5.82"," 1835","0.00",,"97","74",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-22","5.14"," 1930","0.00",,"98","72",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-23","5.82"," 1634","0.00",,"100","70",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-24","6.04"," 1652","0.00",,"96","75",,,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-25","17.00"," 2201","0.05",,"89","75","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-26","32.66"," 2011","6.53",,"76","73","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-27","27.07"," 0014","2.37",,"74","70",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-28","20.80"," 1318","0.47",,"83","69",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-29","14.99"," 1031","0.00",,"88","70",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-30","10.51"," 1029","0.00",,"92","68",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-08-31","5.14"," 1145","0.00",,"92","63",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-01","4.03"," 1634","0.00",,"94","66",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-02","3.80"," 1211","0.00",,"92","65",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-03","4.03"," 1703","0.00",,"91","67",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-04","4.03"," 1336","0.00",,"91","67",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-05","4.03"," 1721","0.00",,"95","69",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-06","12.97"," 1309","0.00",,"87","60",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-07","6.71"," 1331","0.00",,"84","55",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-08","6.26"," 1049","0.00",,"85","56",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-09","7.83"," 1337","0.00",,"87","59",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-10","8.72"," 1623","0.00",,"87","59",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-11","8.72"," 1418","0.00",,"86","60",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-12","5.59"," 1208","0.00",,"91","55",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-13","5.82"," 0918","0.00",,"92","60",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-14","7.83"," 1316","0.00",,"93","69",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-15","6.71"," 0947","0.00",,"91","68","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-16","7.38"," 0954","0.00",,"92","73","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-17","5.37"," 1100","0.00",,"92","72","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-18","6.26"," 1729","0.00",,"94","73",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-19","9.62"," 1238","0.00",,"94","74","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-20","10.96"," 0834","0.00",,"94","76",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-21","9.62"," 1611","0.00",,"94","73","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-22","7.61"," 1341","0.00",,"91","71","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-23","6.93"," 1702","0.00",,"91","68","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-24","7.61"," 1700","0.00",,"91","70","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-26",," 2000","0.09",,,,,,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-27","8.05"," 2310","0.00",,,,"    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-28","8.95"," 1727","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-29","10.51"," 2026","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-09-30","7.61"," 1322","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-01","4.25"," 1510","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-02","4.92"," 1526","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-03",," 1649","0.01",,,,"    1",,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-04",," 1403","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-05",," 1421","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-06",," 0846","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-07",," 0634","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-08",," 0604","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-09",," 0927","0.00",,,,"    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-10","16.11"," 0705","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-11","7.83"," 0923","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-12",," 0556","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-13",,,"0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-14",," 1516","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-15","12.30"," 1555","0.00",,"80","63",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-16","11.63"," 0909","0.00",,"77","52",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-17",," 0315","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-18",,,"0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-19",," 1613","0.00",,,,,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-20","5.14"," 1447","0.00",,"83","64",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-21","11.41"," 1323","0.00",,"89","71",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-22","10.74"," 0648","0.00",,"81","52",,,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-23","5.82"," 1135","0.00",,"82","46",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2017-10-24","10.51"," 1445","0.00",,"78","47",,,,,
