"","WaterElevation","Temp","Precipitation","Population","Date"
"1",656.686666666667,48.8709677419355,5.08,1152000,Jan 1991
"2",660.355,56.5535714285714,2.34,1152000,Feb 1991
"3",655.345,63.9516129032258,1.06,1152000,Mar 1991
"4",663.4,72.35,4.91,1152000,Apr 1991
"5",663.45,77.6451612903226,5.3,1152000,May 1991
"6",651.57,82.75,2.28,1152000,Jun 1991
"7",651.01,84.5322580645161,2.23,1152000,Jul 1991
"8",642.15,85.8387096774194,2.84,1152000,Aug 1991
"9",649.81,77.8,1.42,1152000,Sep 1991
"10",647.5,73.241935483871,0.87,1152000,Oct 1991
"11",651.875,57.3666666666667,0.47,1152000,Nov 1991
"12",668.35,55.5161290322581,13.96,1152000,Dec 1991
"13",683.191428571429,50.7258064516129,5.64,1171000,Jan 1992
"14",694.14,59.0862068965517,6.37,1171000,Feb 1992
"15",696.518571428571,63.3387096774194,6.12,1171000,Mar 1992
"16",695.873333333333,68.9666666666667,3.03,1171000,Apr 1992
"17",696.074285714286,73.6612903225806,8.15,1171000,May 1992
"18",700.336666666667,82.4833333333333,5.67,1171000,Jun 1992
"19",692.814285714286,84.6774193548387,1.28,1171000,Jul 1992
"20",691.296666666667,82.1451612903226,2.56,1171000,Aug 1992
"21",688.653333333333,81.6833333333333,1.12,1171000,Sep 1992
"22",687.02,73.3870967741936,0.92,1171000,Oct 1992
"23",690.268333333333,57.2333333333333,3.47,1171000,Nov 1992
"24",691.911428571429,56.241935483871,2.16,1171000,Dec 1992
"25",691.344285714286,51.1290322580645,1.31,1190000,Jan 1993
"26",691.215,55.4821428571429,3.72,1190000,Feb 1993
"27",690.244285714286,61.4516129032258,1.56,1190000,Mar 1993
"28",688.155,67.25,1.81,1190000,Apr 1993
"29",691.14,73.8709677419355,12.47,1190000,May 1993
"30",688.86,81.5166666666667,6.43,1190000,Jun 1993
"31",683.585714285714,86.0483870967742,0,1190000,Jul 1993
"32",673.724285714286,87.241935483871,0.01,1190000,Aug 1993
"33",673.803333333333,81.5,0.52,1190000,Sep 1993
"34",674.96,70.6451612903226,3.07,1190000,Oct 1993
"35",678.075,56.2666666666667,0.66,1190000,Nov 1993
"36",677.743333333333,55.0483870967742,0.44,1190000,Dec 1993
"37",676.47,52.3064516129032,1.55,1210000,Jan 1994
"38",675.451666666667,56.125,0.64,1210000,Feb 1994
"39",675.961666666667,63.8548387096774,5.06,1210000,Mar 1994
"40",673.5,69.8166666666667,2.21,1210000,Apr 1994
"41",676.742857142857,76.0322580645161,7.01,1210000,May 1994
"42",665.613333333333,84.5,1.66,1210000,Jun 1994
"43",656.88,87.8225806451613,0.5,1210000,Jul 1994
"44",655.403333333333,86.0645161290323,2.54,1210000,Aug 1994
"45",663.84,78.3833333333333,5.52,1210000,Sep 1994
"46",670.656666666667,72.6129032258064,9.75,1210000,Oct 1994
"47",674.583333333333,64.7333333333333,0.71,1210000,Nov 1994
"48",674.226666666667,56.9193548387097,3.28,1210000,Dec 1994
"49",675.606666666667,53.4677419354839,0.28,1229000,Jan 1995
"50",677.19,57.3571428571429,1.19,1229000,Feb 1995
"51",672.34,61.8387096774194,1.58,1229000,Mar 1995
"52",670.99,69.75,1.07,1229000,Apr 1995
"53",661.656666666667,78.6290322580645,5.36,1229000,May 1995
"54",665.89,79.25,4.81,1229000,Jun 1995
"55",662.79,84.2741935483871,0.7,1229000,Jul 1995
"56",654.44,85.5,2.03,1229000,Aug 1995
"57",655.556666666667,80.1,4.49,1229000,Sep 1995
"58",658.456666666667,69.7741935483871,0.23,1229000,Oct 1995
"59",662.473333333333,59.4833333333333,0.82,1229000,Nov 1995
"60",663.656666666667,55.6290322580645,0.64,1229000,Dec 1995
"61",662.466666666667,51.0483870967742,0,1249000,Jan 1996
"62",653.515714285714,57.8793103448276,0.69,1249000,Feb 1996
"63",653.533333333333,57.6290322580645,0.3,1249000,Mar 1996
"64",649.75,69.45,0.89,1249000,Apr 1996
"65",639,81.8870967741936,1.26,1249000,May 1996
"66",632.216666666667,84.0666666666667,2.12,1249000,Jun 1996
"67",631.466666666667,87.3225806451613,1.31,1249000,Jul 1996
"68",632.983333333333,84.4032258064516,2.86,1249000,Aug 1996
"69",643.516666666667,78.4333333333333,3.66,1249000,Sep 1996
"70",643.9,71.0161290322581,0.36,1249000,Oct 1996
"71",645.7,61.3,2.79,1249000,Nov 1996
"72",649.783333333333,54.4838709677419,1.56,1249000,Dec 1996
"73",650.85,49.1129032258064,0.44,1270000,Jan 1997
"74",651.95,53.0892857142857,2.44,1270000,Feb 1997
"75",656.616666666667,63.241935483871,2.24,1270000,Mar 1997
"76",662.55,63.8833333333333,5.72,1270000,Apr 1997
"77",663.166666666667,73.9516129032258,3.91,1270000,May 1997
"78",668.883333333333,79.7666666666667,7.3,1270000,Jun 1997
"79",671.716666666667,85.0161290322581,0,1270000,Jul 1997
"80",663.6,86.0806451612903,0.62,1270000,Aug 1997
"81",661.75,82.1833333333333,1.86,1270000,Sep 1997
"82",666.733333333333,70.1612903225806,4.08,1270000,Oct 1997
"83",668.733333333333,57.3166666666667,1.76,1270000,Nov 1997
"84",670.55,50.2258064516129,3.55,1270000,Dec 1997
"85",673.05,56.4193548387097,3.21,1290000,Jan 1998
"86",675.916666666667,55.2678571428571,3.37,1290000,Feb 1998
"87",679.266666666667,59.741935483871,2.85,1290000,Mar 1998
"88",674.35,66.8,0.05,1290000,Apr 1998
"89",655.816666666667,80.0645161290323,0.34,1290000,May 1998
"90",645.616666666667,86.5,0.81,1290000,Jun 1998
"91",645.083333333333,88.3548387096774,0.21,1290000,Jul 1998
"92",652.833333333333,83.7741935483871,7.78,1290000,Aug 1998
"93",662.583333333333,80.6666666666667,1.57,1290000,Sep 1998
"94",674.166666666667,71.5161290322581,18.07,1290000,Oct 1998
"95",688.5,62.6333333333333,3.4,1290000,Nov 1998
"96",687.4,53,0.39,1290000,Dec 1998
"97",684.966666666667,54.8064516129032,0.04,1311000,Jan 1999
"98",679.116666666667,62.1071428571429,0.01,1311000,Feb 1999
"99",678.066666666667,62.9354838709677,3.48,1311000,Mar 1999
"100",677.833333333333,71.4333333333333,0.91,1311000,Apr 1999
"101",673.95,76.3548387096774,2.78,1311000,May 1999
"102",666.633333333333,82.0666666666667,3.37,1311000,Jun 1999
"103",673.115,83.0967741935484,1.8,1311000,Jul 1999
"104",663.45,86.4193548387097,2.11,1311000,Aug 1999
"105",660.635,80.5666666666667,0.05,1311000,Sep 1999
"106",659.995,69.8709677419355,1.29,1311000,Oct 1999
"107",662.685,63.2666666666667,0.05,1311000,Nov 1999
"108",664.115,54.2258064516129,0.52,1311000,Dec 1999
"109",664.83,55.5483870967742,1.4,1337000,Jan 2000
"110",663.025,62.8620689655172,2.2,1337000,Feb 2000
"111",659.6,67.1935483870968,0.91,1337000,Mar 2000
"112",655.02,70.9,1.22,1337000,Apr 2000
"113",650.765,78.8064516129032,3.59,1337000,May 2000
"114",655.395,81.2333333333333,7.61,1337000,Jun 2000
"115",644.445,86.0967741935484,0.34,1337000,Jul 2000
"116",639.05,86.5483870967742,0.16,1337000,Aug 2000
"117",643.23,81.1666666666667,2.65,1337000,Sep 2000
"118",654.69,71.258064516129,5.62,1337000,Oct 2000
"119",673.283333333333,57.1333333333333,8.58,1337000,Nov 2000
"120",676.575,46.6129032258064,1.57,1337000,Dec 2000
"121",678.413333333333,49.4193548387097,2.85,1375000,Jan 2001
"122",680.233333333333,57.7142857142857,0.7,1375000,Feb 2001
"123",681.21,56.7741935483871,2.77,1375000,Mar 2001
"124",680.615,71,2.29,1375000,Apr 2001
"125",678.335,76.5161290322581,2.48,1375000,May 2001
"126",665.913333333333,82.6666666666667,3.39,1375000,Jun 2001
"127",661.683333333333,85.6451612903226,0.5,1375000,Jul 2001
"128",656.78,85.7096774193548,7.83,1375000,Aug 2001
"129",675.2975,77.0666666666667,4.05,1375000,Sep 2001
"130",675.66,68.1290322580645,2.06,1375000,Oct 2001
"131",677.846666666667,63.1,4.37,1375000,Nov 2001
"132",684.433333333333,54,3.43,1375000,Dec 2001
"133",683.05,53.9354838709677,0.37,1414000,Jan 2002
"134",680.34,51.1071428571429,0.42,1414000,Feb 2002
"135",676.92,60.5483870967742,1.19,1414000,Mar 2002
"136",676.243333333333,73.4666666666667,3.82,1414000,Apr 2002
"137",667.13,77.0645161290323,2.26,1414000,May 2002
"138",655.903333333333,83.2,1.48,1414000,Jun 2002
"139",687.466666666667,82.741935483871,16.92,1414000,Jul 2002
"140",683.166666666667,85.4516129032258,0.54,1414000,Aug 2002
"141",684.75,78.8666666666667,7.02,1414000,Sep 2002
"142",NA,70.8709677419355,7.64,1414000,Oct 2002
"143",NA,58.1333333333333,2.08,1414000,Nov 2002
"144",694.761666666667,53.9677419354839,2.53,1414000,Dec 2002
"145",693.648333333333,50,0.99,1454000,Jan 2003
"146",692.716,53.3214285714286,2.15,1454000,Feb 2003
"147",692.556666666667,60.7741935483871,0.77,1454000,Mar 2003
"148",688.314,70.6333333333333,0.17,1454000,Apr 2003
"149",677.421666666667,80.5483870967742,0.12,1454000,May 2003
"150",678.206666666667,82,2.9,1454000,Jun 2003
"151",682.2775,82.1935483870968,8.12,1454000,Jul 2003
"152",678.578,83.9677419354839,1.65,1454000,Aug 2003
"153",681.92,76.9,9.21,1454000,Sep 2003
"154",683.083333333333,70.8387096774194,1.94,1454000,Oct 2003
"155",681.595,63.4333333333333,0.32,1454000,Nov 2003
"156",679.755,54.0967741935484,0.11,1454000,Dec 2003
"157",679.705,54.7741935483871,2.31,1496000,Jan 2004
"158",680.634,53.3448275862069,1.73,1496000,Feb 2004
"159",681.501666666667,66.1612903225806,2.35,1496000,Mar 2004
"160",684.718333333333,67.4333333333333,5.02,1496000,Apr 2004
"161",686.02,76.3225806451613,1.8,1496000,May 2004
"162",684.143333333333,81.1,9.47,1496000,Jun 2004
"163",689.24,83.258064516129,0.61,1496000,Jul 2004
"164",684.295,83.5806451612903,1.1,1496000,Aug 2004
"165",684.551666666667,80.7333333333333,1.92,1496000,Sep 2004
"166",686.972857142857,77.1290322580645,9.47,1496000,Oct 2004
"167",696.171428571429,61.3666666666667,9.46,1496000,Nov 2004
"168",700.935,53.3548387096774,0.08,1496000,Dec 2004
"169",696.66,56.1290322580645,2.18,1538000,Jan 2005
"170",697.064,56.6071428571429,2.42,1538000,Feb 2005
"171",698.726,61.6129032258064,2,1538000,Mar 2005
"172",694.532,68.6,0.01,1538000,Apr 2005
"173",689.81,75.1612903225806,2.97,1538000,May 2005
"174",684.721666666667,82.8,0.81,1538000,Jun 2005
"175",678.738333333333,85.5483870967742,2.1,1538000,Jul 2005
"176",679.125,85.6935483870968,1.22,1538000,Aug 2005
"177",NA,84.2666666666667,1.39,1538000,Sep 2005
"178",677.92,70.9193548387097,1.14,1538000,Oct 2005
"179",NA,64.9,0.2,1538000,Nov 2005
"180",NA,53,0.1,1538000,Dec 2005
"181",676.91,58.241935483871,0.35,1582000,Jan 2006
"182",673.56,55.9464285714286,0.62,1582000,Feb 2006
"183",669.61,67.5483870967742,1.36,1582000,Mar 2006
