"","year","month","population","Date"
"1",1991,1,1152000,Jan 1991
"2",1991,2,1152000,Feb 1991
"3",1991,3,1152000,Mar 1991
"4",1991,4,1152000,Apr 1991
"5",1991,5,1152000,May 1991
"6",1991,6,1152000,Jun 1991
"7",1991,7,1152000,Jul 1991
"8",1991,8,1152000,Aug 1991
"9",1991,9,1152000,Sep 1991
"10",1991,10,1152000,Oct 1991
"11",1991,11,1152000,Nov 1991
"12",1991,12,1152000,Dec 1991
"13",1992,1,1171000,Jan 1992
"14",1992,2,1171000,Feb 1992
"15",1992,3,1171000,Mar 1992
"16",1992,4,1171000,Apr 1992
"17",1992,5,1171000,May 1992
"18",1992,6,1171000,Jun 1992
"19",1992,7,1171000,Jul 1992
"20",1992,8,1171000,Aug 1992
"21",1992,9,1171000,Sep 1992
"22",1992,10,1171000,Oct 1992
"23",1992,11,1171000,Nov 1992
"24",1992,12,1171000,Dec 1992
"25",1993,1,1190000,Jan 1993
"26",1993,2,1190000,Feb 1993
"27",1993,3,1190000,Mar 1993
"28",1993,4,1190000,Apr 1993
"29",1993,5,1190000,May 1993
"30",1993,6,1190000,Jun 1993
"31",1993,7,1190000,Jul 1993
"32",1993,8,1190000,Aug 1993
"33",1993,9,1190000,Sep 1993
"34",1993,10,1190000,Oct 1993
"35",1993,11,1190000,Nov 1993
"36",1993,12,1190000,Dec 1993
"37",1994,1,1210000,Jan 1994
"38",1994,2,1210000,Feb 1994
"39",1994,3,1210000,Mar 1994
"40",1994,4,1210000,Apr 1994
"41",1994,5,1210000,May 1994
"42",1994,6,1210000,Jun 1994
"43",1994,7,1210000,Jul 1994
"44",1994,8,1210000,Aug 1994
"45",1994,9,1210000,Sep 1994
"46",1994,10,1210000,Oct 1994
"47",1994,11,1210000,Nov 1994
"48",1994,12,1210000,Dec 1994
"49",1995,1,1229000,Jan 1995
"50",1995,2,1229000,Feb 1995
"51",1995,3,1229000,Mar 1995
"52",1995,4,1229000,Apr 1995
"53",1995,5,1229000,May 1995
"54",1995,6,1229000,Jun 1995
"55",1995,7,1229000,Jul 1995
"56",1995,8,1229000,Aug 1995
"57",1995,9,1229000,Sep 1995
"58",1995,10,1229000,Oct 1995
"59",1995,11,1229000,Nov 1995
"60",1995,12,1229000,Dec 1995
"61",1996,1,1249000,Jan 1996
"62",1996,2,1249000,Feb 1996
"63",1996,3,1249000,Mar 1996
"64",1996,4,1249000,Apr 1996
"65",1996,5,1249000,May 1996
"66",1996,6,1249000,Jun 1996
"67",1996,7,1249000,Jul 1996
"68",1996,8,1249000,Aug 1996
"69",1996,9,1249000,Sep 1996
"70",1996,10,1249000,Oct 1996
"71",1996,11,1249000,Nov 1996
"72",1996,12,1249000,Dec 1996
"73",1997,1,1270000,Jan 1997
"74",1997,2,1270000,Feb 1997
"75",1997,3,1270000,Mar 1997
"76",1997,4,1270000,Apr 1997
"77",1997,5,1270000,May 1997
"78",1997,6,1270000,Jun 1997
"79",1997,7,1270000,Jul 1997
"80",1997,8,1270000,Aug 1997
"81",1997,9,1270000,Sep 1997
"82",1997,10,1270000,Oct 1997
"83",1997,11,1270000,Nov 1997
"84",1997,12,1270000,Dec 1997
