Disclaimer,,,,,,,,,,,,,,,,,,
"""GWDB DISCLAIMER:  Except where noted, all of the information provided in the Texas Water Development Board (TWDB) Groundwater Database (https://www.twdb.texas.gov/groundwater/data/gwdbrpt.asp) is believed to be accurate and reliable; however, the TWDB assumes no responsibility for any errors appearing in rules or otherwise. Further, TWDB assumes no responsibility for the use of the information provided. PLEASE NOTE that users of these data are responsible for checking the accuracy, completeness, currency and/or suitability of all information themselves. TWDB makes no guarantees or warranties as to the accuracy, completeness, currency, or suitability of the information provided via the Groundwater Database (GWDB). TWDB specifically disclaims any and all liability for any claims or damages that may result from providing GWDB data or the information it contains. For additional information or answers to questions concerning the TWDB GWDB, contact the Groundwater Data Team at GroundwaterData@twdb.texas.gov.""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
StateWellNumber,LatitudeDD,LongitudeDD,County,AquiferCode,Owner,WellTypeCode,DrillingEndDate,WellDepth,CasingId,Diameter,TopDepth,BottomDepth,LandSurfaceElevation,WaterLevelsAvailable,WaterQualityAvailable,Pump,WellUse,Remarks
6821802,29.63,-98.457778,Bexar,218EBFZA,Floyd A Denton Encino Park ,O,12/9/1976,311,10,6,0,202,990,Yes,Yes,None,Unused,
6821802,29.63,-98.457778,Bexar,218EBFZA,Floyd A Denton Encino Park ,O,12/9/1976,311,101,,202,311,990,Yes,Yes,None,Unused,
6821804,29.630555,-98.443611,Bexar,218EBFZA,EUCD Encino Park #4,O,5/6/1977,279,10,6,0,192,947,Yes,Yes,None,Unused,
6821804,29.630555,-98.443611,Bexar,218EBFZA,EUCD Encino Park #4,O,5/6/1977,279,101,,192,279,947,Yes,Yes,None,Unused,
6821806,29.6297222,-98.4486111,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #17,O,5/1/1998,290,10,4,0,225,950,Yes,Yes,None,Unused,USGS Site Number: 293746098265401. LUSUR #17. Encino Park @ Elm Creek. Cemented to 35 feet.
6821806,29.6297222,-98.4486111,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #17,O,5/1/1998,290,10,7,0,35,950,Yes,Yes,None,Unused,USGS Site Number: 293746098265401. LUSUR #17. Encino Park @ Elm Creek. Cemented to 35 feet.
6821806,29.6297222,-98.4486111,Bexar,218EBFZA,Edwards Aquifer Auth.  LUSUR #17,O,5/1/1998,290,11,4,225,290,950,Yes,Yes,None,Unused,USGS Site Number: 293746098265401. LUSUR #17. Encino Park @ Elm Creek. Cemented to 35 feet.
6821901,29.640834,-98.378611,Bexar,218EBFZA,San Antonio Water Sys.,O,0/0/1978,560,10,4,0,405,1015,Yes,No,None,Unused,Relogged in 1993 to 558 feet prior to plugging.
6821901,29.640834,-98.378611,Bexar,218EBFZA,San Antonio Water Sys.,O,0/0/1978,560,101,,405,560,1015,Yes,No,None,Unused,Relogged in 1993 to 558 feet prior to plugging.
6821903,29.6486111,-98.3966667,Bexar,218EDRD,,O,3/10/2008,340,10,4,0,280,991,Yes,No,None,Unused,USGS Site Number: 293855098234801. 
