Disclaimer
"""GWDB DISCLAIMER:  Except where noted, all of the information provided in the Texas Water Development Board (TWDB) Groundwater Database (https://www.twdb.texas.gov/groundwater/data/gwdbrpt.asp) is believed to be accurate and reliable; however, the TWDB assumes no responsibility for any errors appearing in rules or otherwise. Further, TWDB assumes no responsibility for the use of the information provided. PLEASE NOTE that users of these data are responsible for checking the accuracy, completeness, currency and/or suitability of all information themselves. TWDB makes no guarantees or warranties as to the accuracy, completeness, currency, or suitability of the information provided via the Groundwater Database (GWDB). TWDB specifically disclaims any and all liability for any claims or damages that may result from providing GWDB data or the information it contains. For additional information or answers to questions concerning the TWDB GWDB, contact the Groundwater Data Team at GroundwaterData@twdb.texas.gov."""

StateWellNumber,LatitudeDD,LongitudeDD,County,AquiferCode,Owner,WellTypeCode,DrillingEndDate,WellDepth,CasingId,Diameter,TopDepth,BottomDepth,LandSurfaceElevation,WaterLevelsAvailable,WaterQualityAvailable,Pump,WellUse,Remarks
5764604,30.048056,-98.012501,Hays,218CCRK,Thomas Bowman ,W,12/20/2013,850,10,5,-3,810,1029,Yes,Yes,Submersible,Domestic,"Well Report Tracking Number: 353577. Pumping 12 gal/min. 4/8/2015 Est.(jetted) 50+ gal/min 12/20/2013 Packers @ 50',550',790', and 810'. Sulphur smell. 4 inch surface csg. Pumping level 340.1, drawndown 18.7 Specific capacity 0.641 GPM/ft."
5764604,30.048056,-98.012501,Hays,218CCRK,Thomas Bowman ,W,12/20/2013,850,11,5,810,850,1029,Yes,Yes,Submersible,Domestic,"Well Report Tracking Number: 353577. Pumping 12 gal/min. 4/8/2015 Est.(jetted) 50+ gal/min 12/20/2013 Packers @ 50',550',790', and 810'. Sulphur smell. 4 inch surface csg. Pumping level 340.1, drawndown 18.7 Specific capacity 0.641 GPM/ft."
5764605,30.0497222,-98.0266667,Hays,218CCRK,Bob Ochoa,W,3/27/2002,810,10,5,-2,810,1076,Yes,Yes,Submersible,Domestic,"Packers @ 50, 60, 690, 710 feet. Static 298.5', Pumping 333.0 Drawdown 34.5' Specific Capacity 0.289 GPM/ft. Pump rate 50-60 GPM 3/27/2002 Production Rate 10 GPM 4/8/2015"
5764606,30.0558611,-98.0112361,Hays,218GLRSU,Andy Gluesenkamp,W,,195,,,,,1007,Yes,Yes,Submersible,Domestic,"Pumping level: -99.0' Drawdown: 7.3' Specific capacity: 1.01 GPM/ft. Production rate: 7.5 GPM Surface csg: 8"" ceramic. M.P.= 0.5'."
5764620,30.0574722,-98.0334722,Hays,,David Robertson,W,6/17/2021,840,10,4.5,-2,698,1194,No,No,Submersible,Domestic,Well Report Tracking Number: 581676. 
5764620,30.0574722,-98.0334722,Hays,,David Robertson,W,6/17/2021,840,11,4.5,698,718,1194,No,No,Submersible,Domestic,Well Report Tracking Number: 581676. 
5764620,30.0574722,-98.0334722,Hays,,David Robertson,W,6/17/2021,840,10,4.5,718,778,1194,No,No,Submersible,Domestic,Well Report Tracking Number: 581676. 
5764620,30.0574722,-98.0334722,Hays,,David Robertson,W,6/17/2021,840,11,4.5,778,798,1194,No,No,Submersible,Domestic,Well Report Tracking Number: 581676. 
5764621,30.0698056,-98.0097222,Hays,,Amelia and Robert Verdin,W,12/28/2020,700,10,4.5,-2,638,1007,No,No,Submersible,Domestic,Well Report Tracking Number: 570425. 
5764621,30.0698056,-98.0097222,Hays,,Amelia and Robert Verdin,W,12/28/2020,700,11,4.5,638,658,1007,No,No,Submersible,Domestic,Well Report Tracking Number: 570425. 
5764907,30.04,-98.0333333,Hays,218GRCCU,Donald and Jill Wood,W,10/8/2010,790,10,5,-3,710,1068,Yes,Yes,Submersible,Domestic,Well Report Tracking Number: 233129. Specific capacity: 1.27 GPM/ft
5764907,30.04,-98.0333333,Hays,218GRCCU,Donald and Jill Wood,W,10/8/2010,790,12,5,710,790,1068,Yes,Yes,Submersible,Domestic,Well Report Tracking Number: 233129. Specific capacity: 1.27 GPM/ft
5849708,30.128889,-97.967778,Hays,218EBFZA,Mike Personett,W,,310,,,,,1055,Yes,Yes,Submersible,Domestic,
5849801,30.1597222,-97.9230556,Hays,218EBFZA,Clara Calhoun,W,,100,,,,,856,Yes,Yes,Submersible,Stock,
5849802,30.128055,-97.926667,Hays,218EBFZA,Bliss Spillar ,W,,,,,,,930,Yes,No,Piston,Stock,
5849803,30.150834,-97.933889,Hays,218EBFZA,Clara Calhoun ,W,9/30/1954,135,,,,,920,Yes,No,Piston,Stock,
5849805,30.1425,-97.950278,Hays,218EBFZA,Mike Rutherford ,W,,315,,,,,1055,Yes,No,Piston,Stock,
5849806,30.1275,-97.933889,Hays,218EBFZA,Mike Rutherford ,W,,200,,,,,935,Yes,No,Piston,Stock,
5849812,30.152501,-97.942778,Hays,218CCRK,Kelly Guillory,W,7/20/2015,880,10,5,-2,740,1000,Yes,Yes,Submersible,Domestic,"Well Report Tracking Number: 401722. Shale packers @ 650,655, and 658 ft Est. yield: 30-50 GPM pump set @ 520 ft."
