Disclaimer
"""GWDB DISCLAIMER:  Except where noted, all of the information provided in the Texas Water Development Board (TWDB) Groundwater Database (https://www.twdb.texas.gov/groundwater/data/gwdbrpt.asp) is believed to be accurate and reliable; however, the TWDB assumes no responsibility for any errors appearing in rules or otherwise. Further, TWDB assumes no responsibility for the use of the information provided. PLEASE NOTE that users of these data are responsible for checking the accuracy, completeness, currency and/or suitability of all information themselves. TWDB makes no guarantees or warranties as to the accuracy, completeness, currency, or suitability of the information provided via the Groundwater Database (GWDB). TWDB specifically disclaims any and all liability for any claims or damages that may result from providing GWDB data or the information it contains. For additional information or answers to questions concerning the TWDB GWDB, contact the Groundwater Data Team at GroundwaterData@twdb.texas.gov."""

StateWellNumber,LatitudeDD,LongitudeDD,County,AquiferCode,Owner,WellTypeCode,DrillingEndDate,WellDepth,CasingId,Diameter,TopDepth,BottomDepth,LandSurfaceElevation,WaterLevelsAvailable,WaterQualityAvailable,Pump,WellUse,Remarks
5825601,30.564167,-97.911945,Travis,218EDRDA,Williamson Apple Spring,S,,,,,,,1065,No,No,None,Stock,Owner Well Number: Apple Spring. USGS Site Number: 303352097544401. Apple Spring. Estimated discharge 10 GPM on 9/6/72.
5825701,30.537222,-97.991945,Travis,218EDRDA,Mary Biggar  Hanging Rock Spring ,S,,,,,,,1180,No,Yes,None,Stock,Owner Well Number: Hanging Rock Spring. USGS Site Number: 303215097593201. Hanging Rock Spring. Estimated discharge 5 GPM on 9/6/72.
5834102,30.463056,-97.847778,Travis,218EBFZA,Jack Dies  Big Spring,S,,,,,,,891,No,Yes,None,Stock,"Owner Well Number: Big Spring. USGS Site Number: 302748097505301. Other Well Number: C-12 in B-5708. Big Spring. Reported flow 10 gal/ min on Oct. 3,1972.  Well C-12 in TBWE B-5708. Estimated discharge 50 GPM on 11/1/40."
5834103,30.460278,-97.850556,Travis,218EDRDA,Jack Dies  House Spring,S,,,,,,,847,No,Yes,None,Domestic,"Owner Well Number: House Spring. USGS Site Number: 302738097510301. Other Well Number: C-13 in B-5708. House Spring. Reported flow 20 gal/ min on Nov. 1,1940, and estimated flow 5 gal/min on Oct.3,1972. Well C-13 in TBWE B-5708. Reported dis- charge 20 GPM from limestone on 11/1/40."
5834104,30.458889,-97.851667,Travis,218EDRDA,Jack Dies  Swimming Pool Spring,S,,,,,,,917,No,Yes,None,Domestic,"USGS Site Number: 302733097510701. Swimming Pool Spring. Reported flow 40 gal/min on Nov. 1,1940, and estimated flow 10 gal/min on Oct.3, 1972.  Well C-14 in TBWE B-5708. County report."
5834411,30.457778,-97.838611,Travis,218EDRDA,K.C. Miller ,S,,,,,,,863,No,Yes,None,Stock,"USGS Site Number: 302730097501701. Reported flow 75 gal/min on Nov.1, 1940, and estimated flow 20 gal/min on Oct.3,1972.  Well C-15 in TBWE B-5708."
5834412,30.457778,-97.84,Travis,218EDRDA,K.C. Miller  Kelly Hollow Spring ,S,,,,,,,849,No,Yes,None,Stock,"USGS Site Number: 302727097502301. Kelly Hollow Springs.  Reported flow 40 gal/min on Nov. 1,1940, and estimated flow 5 gal/min on Oct.2, 1972.  Well C-16 in TBWE B-5708. County report."
5834414,30.421667,-97.835278,Travis,218EDRDA,Schlumberger Corp.,S,,,,,,,907,No,Yes,,,USGS Site Number: 302554097494701. Schlumberger Spring.
5834417,30.4475,-97.868611,Travis,218EDRDA,The Crossings  Well #1 ,W,2/21/2003,705,10,10,0,20,974,Yes,Yes,Submersible,Public Supply,Owner Well Number: 1. TCEQ Source ID: G2270356A. Owners well #1. PWS ID #2270356A. Reported yield 43 GPM with 170 feet drawdown after pumping 36 hours in 2003. Specific capacity 0.25 GPM/ft. Pumping level 485 feet. Pump set at 609 feet. Cemented from 0 to 630 feet. Test hole completed 5/21/01. Test hole finished as water well 4/1/03.
5834417,30.4475,-97.868611,Travis,218EDRDA,The Crossings  Well #1 ,W,2/21/2003,705,10,6,0,630,974,Yes,Yes,Submersible,Public Supply,Owner Well Number: 1. TCEQ Source ID: G2270356A. Owners well #1. PWS ID #2270356A. Reported yield 43 GPM with 170 feet drawdown after pumping 36 hours in 2003. Specific capacity 0.25 GPM/ft. Pumping level 485 feet. Pump set at 609 feet. Cemented from 0 to 630 feet. Test hole completed 5/21/01. Test hole finished as water well 4/1/03.
